index,split_type,query_set,context_set_size,actual_context_n,n_test,n_seeds,delta_auprc,delta_auprc_std,rmse,rmse_std,mae,spearman,spearman_std
14,lbap_core_ic50_size,ood_test,32,32,16761,3,0.0191477086573915,0.009640011327489387,1.597823977470398,0.16447524762584403,1.380839506785075,0.0616536268774363,0.027370888275297763
15,lbap_core_ic50_size,iid_test,32,32,12721,3,0.005947199417918918,0.005942537540450531,1.328081210454305,0.022844887919183314,1.0717578728993733,0.03552953640071688,0.04008847599277633
16,lbap_core_ic50_size,ood_test,64,64,16761,3,0.013051663705386055,0.003284960169749015,1.5486776034037273,0.17885844039767937,1.335538427035014,0.045698515717042275,0.029280652856285786
17,lbap_core_ic50_size,iid_test,64,64,12721,3,0.0029418762499315854,0.005054480381500946,1.341044306755066,0.03283522633841749,1.0857642491658528,0.008682871494704066,0.056675126669968975
18,lbap_core_ic50_size,ood_test,128,128,16761,3,0.01158291272790631,0.005536606853926796,1.5429672797520955,0.1072375149948724,1.3323216040929158,0.0479355841851364,0.023501917868378124
19,lbap_core_ic50_size,iid_test,128,128,12721,3,0.006327641072294443,0.0028476345333306773,1.3054060538609822,0.01719978766044327,1.058039704958598,0.04367319237956766,0.034166175655013384
20,lbap_core_ic50_size,ood_test,256,256,16761,3,0.02184716338131291,0.013416348349907901,1.5701783895492554,0.05680500882100391,1.3576178550720215,0.08736426541822613,0.04106359725721266
21,lbap_core_ic50_size,iid_test,256,256,12721,3,0.009534569543008686,0.0036851238787634208,1.2890868584314983,0.003062418063136435,1.0422546068827312,0.09902860234771076,0.009740604035318267
22,lbap_core_ic50_size,ood_test,512,512,16761,3,0.01750446687755791,0.016047494030694547,1.576906681060791,0.01516513875688345,1.3634959856669109,0.07754919264486769,0.033573532798629534
23,lbap_core_ic50_size,iid_test,512,512,12721,3,0.008722356850451899,0.003951382400545645,1.2875785032908122,0.0008307208024966816,1.0414334535598755,0.10599269421927367,0.010309357292458049
24,lbap_core_ic50_assay,ood_test,16,16,19463,3,0.0017842484932149756,0.011571737679418043,1.4955168167750041,0.06426600702293457,1.2386259237925212,-0.004348716405678858,0.0644172855769653
25,lbap_core_ic50_assay,iid_test,16,16,11960,3,0.003695491559089733,0.013043597405752545,1.4243046045303345,0.030174905721749,1.1647059520085652,0.023271658156829245,0.07213082186860892
26,lbap_core_ic50_assay,ood_test,32,32,19463,3,0.003893195214496159,0.012143635759480114,1.4468082586924236,0.0724207131529405,1.2001174290974934,0.014532230077291512,0.06216884785412816
27,lbap_core_ic50_assay,iid_test,32,32,11960,3,0.00736510231348834,0.01493120197537297,1.3881696065266926,0.022420406221828205,1.1381203730901082,0.0672801501232748,0.06437390102144598
28,lbap_core_ic50_assay,ood_test,64,64,19463,3,0.007348775322590817,0.009604117271012094,1.440772533416748,0.09011227223043564,1.1967014074325562,0.03580929525712419,0.046615754585047686
29,lbap_core_ic50_assay,iid_test,64,64,11960,3,0.008953143552171397,0.010652544761572283,1.3825236558914185,0.03262760565335556,1.1353751023610432,0.08698714689280979,0.026505163205811644
30,lbap_core_ic50_assay,ood_test,128,128,19463,3,0.0115229154187347,0.007334441370047234,1.4241997003555298,0.048943130155469805,1.1823033889134724,0.047201175466398626,0.033323589080024495
31,lbap_core_ic50_assay,iid_test,128,128,11960,3,0.016956309573167034,0.009000574962260073,1.3653115034103394,0.016692058329702622,1.1216119130452473,0.11634975687175393,0.021707888701208187
32,lbap_core_ic50_assay,ood_test,256,256,19463,3,0.011966852542132514,0.006695580637336946,1.398500124613444,0.022303308944936907,1.1603965759277344,0.04627959860422048,0.03159041376494617
33,lbap_core_ic50_assay,iid_test,256,256,11960,3,0.01642153302271136,0.00966698229414947,1.3571903705596924,0.007421210805576837,1.1172147194544475,0.11270283084327286,0.017393241995555107
34,lbap_core_ic50_assay,ood_test,512,512,19463,3,0.013669962164085706,0.006308356306676513,1.371668775876363,0.00747741639404321,1.1381951967875164,0.05590320865312273,0.027471487828756212
