assay_id,split_type,episode,n_molecules,n_scaffold_groups,n_usable_groups,support_label_var,mean,knn_k1,knn_k3,knn_k5,kr_tanimoto_a0.01,kr_tanimoto_a0.1,kr_tanimoto_a1.0,ptn
CHEMBL797532,random,6,71,30,2,1.0031415224075317,1.2731142044067383,1.0706288814544678,1.044623613357544,0.8534348011016846,0.7958126068115234,0.8062493801116943,1.2289390563964844,1.0361557006835938
CHEMBL797532,scaffold,6,71,30,2,0.1625097244977951,0.31282511353492737,0.2705304026603699,0.4042883515357971,0.3639211356639862,0.3136856257915497,0.3086499869823456,0.6221105456352234,0.31622767448425293
CHEMBL797532,random,7,71,30,2,0.7354426980018616,1.4284207820892334,1.4263877868652344,1.4584331512451172,1.3117833137512207,0.7478582262992859,0.6707476377487183,0.6079808473587036,1.5168429613113403
CHEMBL797532,scaffold,7,71,30,2,0.932636022567749,0.22809669375419617,1.4111289978027344,0.6614896059036255,0.4266687035560608,0.2269163429737091,0.3321187198162079,0.9308950304985046,0.23625041544437408
CHEMBL797532,random,8,71,30,2,0.3753943145275116,1.7636945247650146,2.2730674743652344,1.8365299701690674,1.6789450645446777,0.9737746119499207,0.9172350168228149,0.8029173016548157,1.6262476444244385
CHEMBL797532,scaffold,8,71,30,2,0.9191656708717346,0.34294015169143677,0.36686116456985474,0.24892354011535645,0.37603282928466797,0.40343257784843445,0.5066074132919312,1.3165228366851807,0.27793604135513306
CHEMBL797532,random,9,71,30,2,1.013716697692871,0.9608138203620911,0.7939351797103882,0.6840753555297852,0.7853267788887024,0.4546588659286499,0.4388948380947113,0.5205467939376831,0.7540454268455505
CHEMBL797532,scaffold,9,71,30,2,0.16956201195716858,0.7891173958778381,0.7377315759658813,0.774691104888916,0.8590178489685059,2.0378711223602295,2.1515307426452637,3.4174067974090576,0.7703725099563599
CHEMBL2404827,random,0,40,27,1,0.0015978706069290638,0.013765749521553516,0.014275815337896347,0.014465191401541233,0.01441216841340065,0.12027977406978607,0.15256035327911377,0.5840473175048828,0.013336772099137306
CHEMBL2404827,random,1,40,27,1,0.03435445576906204,0.005077023059129715,0.026586264371871948,0.015411611646413803,0.015466524288058281,0.15512827038764954,0.16067475080490112,0.48218342661857605,0.005677081178873777
CHEMBL2404827,random,2,40,27,1,0.024110600352287292,0.002475664485245943,0.1527000069618225,0.028344333171844482,0.01289854384958744,0.5076404809951782,0.5646611452102661,1.276773452758789,0.004080812446773052
CHEMBL2404827,random,3,40,27,1,0.013383577577769756,0.024506034329533577,0.040862079709768295,0.029642608016729355,0.03032347932457924,0.23532631993293762,0.2569501996040344,0.6485564708709717,0.023796321824193
CHEMBL2404827,random,4,40,27,1,0.014364859089255333,0.02332732453942299,0.05343350023031235,0.029640493914484978,0.030592162162065506,0.2532920837402344,0.29305559396743774,0.7971727848052979,0.02423430234193802
CHEMBL2404827,random,5,40,27,1,0.0,0.024881869554519653,0.024881869554519653,0.024881869554519653,0.024881869554519653,0.15830937027931213,0.1780737340450287,0.5784071087837219,0.024881869554519653
CHEMBL2404827,random,6,40,27,1,0.0,0.014275815337896347,0.014275815337896347,0.014275815337896347,0.014275815337896347,0.06435424089431763,0.08848758041858673,0.49976760149002075,0.014275815337896347
CHEMBL2404827,random,7,40,27,1,0.0,0.024881869554519653,0.024881869554519653,0.024881869554519653,0.024881869554519653,0.6566993594169617,0.7623371481895447,1.619680404663086,0.024881906807422638
CHEMBL2404827,random,8,40,27,1,0.0,0.040862079709768295,0.040862079709768295,0.040862079709768295,0.040862079709768295,0.1377294808626175,0.16214171051979065,0.6033643484115601,0.040862031280994415
CHEMBL2404827,random,9,40,27,1,0.013383577577769756,0.024506034329533577,0.05954828858375549,0.03122880682349205,0.03146553784608841,0.10487708449363708,0.12304463237524033,0.493071585893631,0.024244148284196854
CHEMBL3301537,random,0,374,274,10,0.013653978705406189,0.19775743782520294,0.23782554268836975,0.21176208555698395,0.2125682830810547,2.853158950805664,3.019256114959717,4.624857425689697,0.1987440586090088
CHEMBL3301537,scaffold,0,374,274,10,0.004138821270316839,0.00959538109600544,0.031379811465740204,0.029718676581978798,0.019974693655967712,6.107879638671875,6.240686416625977,7.6290740966796875,0.00961294211447239
CHEMBL3301537,random,1,374,274,10,0.20152448117733002,0.07803921401500702,0.309012770652771,0.14136448502540588,0.10175710916519165,0.5804116725921631,0.6077367663383484,1.485154628753662,0.07043927162885666
CHEMBL3301537,scaffold,1,374,274,10,0.015506207942962646,0.012315263971686363,0.0621432363986969,0.06214343011379242,0.0621432363986969,6.865933895111084,7.614444732666016,9.571304321289062,0.023103835061192513
CHEMBL3301537,random,2,374,274,10,0.06812233477830887,0.035193558782339096,0.109759621322155,0.1091158464550972,0.06874561309814453,0.7386830449104309,0.8171637058258057,1.9606847763061523,0.05389593914151192
CHEMBL3301537,scaffold,2,374,274,10,0.014301296323537827,0.03900831937789917,0.02188635803759098,0.021886244416236877,0.02188635803759098,7.2007551193237305,7.318680763244629,8.69808578491211,0.03858508914709091
