assay_id,n_scaffold_groups,n_molecules,delta_auprc,rmse,mae,spearman
CHEMBL1963723,231,396,0.0,1.2139413058757782,1.128243339061737,
CHEMBL1963731,129,247,,1.1791271269321442,1.1006472259759903,-0.7296796591646252
CHEMBL1963741,206,307,0.33333333333333337,0.9848810419440269,0.9485077738761902,0.75
CHEMBL1963756,191,293,0.6666666666666667,0.7673717886209488,0.6956158325076103,0.296123548963795
CHEMBL1963773,152,215,,0.4839421480894089,0.40799611806869507,0.25
CHEMBL1963799,176,204,0.0,1.881570503115654,1.835905948281288,0.0
CHEMBL1963810,235,378,0.0,0.7392937913537025,0.6675132602453232,0.03392556509887895
CHEMBL1963818,159,275,,1.3689932942390441,1.2719432055950164,-0.08662434095534188
CHEMBL1963819,180,274,0.0,1.065233200788498,0.9832476019859314,
CHEMBL1963824,178,256,-0.02777777777777779,1.4422090113162995,1.3517498463392257,-0.3986095892960206
CHEMBL1963825,137,198,,1.2130753099918365,1.1341231495141983,-0.4697125426519874
CHEMBL1963827,204,304,,1.0361851066350938,0.9892901808023453,0.724341649025257
CHEMBL1963831,130,185,,1.1446185857057571,1.0509089648723602,0.5
CHEMBL1963838,139,155,0.0,0.28320582434535024,0.252320110052824,
CHEMBL1963910,152,179,0.22222222222222224,0.35166214406490326,0.33443831354379655,1.0
CHEMBL1963969,183,209,0.0,0.3779196530580521,0.33819746375083926,0.6000000000000001
CHEMBL1964005,143,163,0.0,0.5233723100274801,0.493579950556159,1.0
CHEMBL1964101,392,648,0.04444444444444445,1.029711413383484,0.947882866859436,0.05000000000000002
CHEMBL1964106,114,134,,1.0029356248676777,0.923335912078619,
CHEMBL1964115,157,193,-0.02777777777777779,1.2709078401327134,1.081125020980835,-0.6002513574516177
CHEMBL2218946,126,154,0.037222222222222226,0.17509006895124912,0.15413884706795217,0.1
CHEMBL2218957,125,153,0.075,0.26562278643250464,0.21077194157987833,0.13349364905389033
CHEMBL2218959,123,150,0.01851851851851852,0.262687049433589,0.21976701803505422,-0.8660254037844387
CHEMBL2218989,126,154,0.0,0.5885291136801243,0.510753172263503,
CHEMBL2218994,128,157,0.11666666666666667,0.10633562840521335,0.09218099769204854,-0.16666666666666666
CHEMBL2219020,128,157,0.01666666666666667,0.05916288606822491,0.05299084279686213,-0.5
CHEMBL2219026,128,157,0.0,0.051725713070482016,0.04849123321473599,
CHEMBL2219028,128,157,0.0,0.14671489549800754,0.1298264183104038,0.0
CHEMBL2219040,128,157,0.0,0.14481007382273675,0.14114701338112354,0.22435054119787115
CHEMBL2219043,127,156,0.04166666666666667,0.08719749301671982,0.0808714224025607,0.18301270189221935
CHEMBL2219045,128,157,0.0,0.43538416977971794,0.4042382150888443,-0.8660254037844387
CHEMBL2219047,127,156,0.024999999999999994,0.24358550794422626,0.22142359632998704,-0.6668859288553501
CHEMBL2219049,128,157,0.0,0.1559439055621624,0.140775366127491,
CHEMBL2219050,128,157,-0.016666666666666673,0.3471809707581997,0.33533751107752324,0.9330127018922194
CHEMBL2219059,124,152,0.018518518518518514,0.21109129376709462,0.1656315613538027,0.5
CHEMBL2219070,128,157,0.0,0.07401142437011003,0.06964427204802633,0.5
CHEMBL2219075,125,153,0.0,0.4614252299070358,0.40290416181087496,
CHEMBL2219076,121,148,0.1875,0.5891715195029974,0.5522248983383179,-1.0
CHEMBL2219088,128,157,0.000694444444444442,0.06746455542743206,0.054661115258932115,0.1
CHEMBL2219093,127,156,0.0,0.34245420768857004,0.32459620712324977,
CHEMBL2219098,128,157,0.0,0.0566818680614233,0.05322955008596182,-0.5
CHEMBL2219102,127,156,0.0009259259259259226,0.06075576636940241,0.05452999705448747,0.25
CHEMBL2219104,128,157,0.0,0.3390925139188766,0.29653232768177984,
CHEMBL2219113,128,157,0.020833333333333315,0.3810246080160141,0.3323699250817299,-0.43333333333333335
CHEMBL2219115,127,156,0.0,0.17183774057775736,0.13388721290975808,
CHEMBL2219120,126,154,0.01851851851851852,0.4310548476874828,0.36656517907977104,0.5
CHEMBL2219146,126,154,-0.0030864197530864213,0.27865260988473894,0.23292707949876784,0.302704627669473
CHEMBL2219150,128,157,0.055555555555555546,0.3248976763337851,0.29219990558922293,0.0
CHEMBL2219159,128,157,0.04761904761904762,0.24374136282131076,0.23977257059887053,-0.5
CHEMBL2219161,127,156,0.041666666666666664,0.06865969281643629,0.06460960898548365,0.5
CHEMBL2219164,127,156,0.0,0.5463886633515358,0.44844811484217645,-1.0
CHEMBL2219174,127,155,0.02380952380952381,0.17152588665485383,0.12424738835543395,0.5
CHEMBL2219175,128,157,0.07142857142857142,0.03951182272285223,0.03523258026689291,-0.25
CHEMBL2219180,128,157,0.0,0.12776409108191727,0.11227185861207545,-0.5
CHEMBL2219189,128,157,0.0,0.20138690173625945,0.19660381656140088,
CHEMBL2219191,128,157,0.041666666666666664,0.16649786848574877,0.16317494735121726,-0.050000000000000044
CHEMBL2219194,128,157,0.0,0.09197493214160204,0.08882368467748165,0.9330127018922194
CHEMBL2219198,125,153,0.05185185185185184,0.2164947660639882,0.17403932493180035,0.44999999999999996
CHEMBL2219202,127,156,0.05208333333333332,0.1873761299997568,0.16276137232780458,-0.3
